Customerid,Gender,Age,SeniorCitizen,Married,NumberOfDependents,Country,State,City,Latitude,Longitude,NumberOfReferrals,TenureInMonths,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGbDownload,Contract,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,ChurnLabel,ChurnScore,Cltv,ChurnCategory
3488-PGMQJ,Male,66,Yes,No,0,United States,California,Alpine,32.827184,-116.703729,0,8,1.78,No,Yes,Fiber Optic,7,Month-to-Month,Bank Withdrawal,74.5,606.55,0,0,14.24,620.79,2,Yes,80,4345,Dissatisfaction
7534-BFESC,Male,69,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,24,30.87,Yes,Yes,Fiber Optic,15,Month-to-Month,Bank Withdrawal,76.1,1712.7,0,0,740.88,2453.58,2,Yes,91,2018,Competitor
8098-LLAZX,Female,74,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,4,31.61,Yes,Yes,Fiber Optic,2,Month-to-Month,Bank Withdrawal,95.45,396.1,0,0,126.44,522.54,3,Yes,85,3677,Competitor
0265-EDXBD,Male,76,Yes,Yes,0,United States,California,San Diego,32.85723,-117.209774,2,32,47.34,Yes,Yes,Fiber Optic,10,Month-to-Month,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,2,Yes,69,4105,Attitude
2840-XANRC,Male,77,Yes,Yes,0,United States,California,San Diego,32.85723,-117.209774,1,24,16.1,No,Yes,Cable,12,Month-to-Month,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45,2,Yes,73,2212,Competitor
5020-ZSTTY,Female,70,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,54,12.08,Yes,Yes,DSL,5,One Year,Bank Withdrawal,82.45,4350.1,0,0,652.32,5002.42,1,Yes,83,4149,Competitor
5804-LEPIM,Female,74,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,2,13.17,No,Yes,Fiber Optic,10,Month-to-Month,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39,3,Yes,73,2671,Other
0623-IIHUG,Female,77,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,21,0,No,Yes,Cable,8,Month-to-Month,Bank Withdrawal,41.9,840.1,0,0,0,840.1,1,Yes,90,4778,Competitor
9057-MSWCO,Male,71,Yes,Yes,0,United States,California,San Diego,32.85723,-117.209774,0,27,0,No,Yes,Cable,13,Month-to-Month,Credit Card,30.75,805.1,0,140,0,945.1,1,Yes,91,2927,Competitor
4895-TMWIR,Male,79,Yes,Yes,0,United States,California,San Diego,32.85723,-117.209774,1,11,29.54,No,No,None,0,Month-to-Month,Mailed Check,19.95,214.75,0,0,324.94,539.69,1,Yes,80,5888,Competitor
0533-BNWKF,Female,66,Yes,Yes,0,United States,California,San Diego,32.85723,-117.209774,2,55,42.82,Yes,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,85.45,4874.7,0,90,2355.1,7319.8,1,Yes,91,5502,Competitor
0334-GDDSO,Male,77,Yes,No,0,United States,California,San Diego,32.85723,-117.209774,0,3,9.22,Yes,Yes,Fiber Optic,14,Month-to-Month,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,1,Yes,73,2818,Competitor
5564-NEMQO,Female,80,Yes,No,0,United States,California,Thermal,33.53604,-116.119222,0,1,35.09,No,Yes,Fiber Optic,17,Month-to-Month,Bank Withdrawal,75.3,75.3,0,20,35.09,130.39,2,Yes,67,4902,Dissatisfaction
6235-VDHOM,Female,77,Yes,No,0,United States,California,Riverside,34.004379,-117.447864,0,5,0,No,Yes,DSL,26,Month-to-Month,Bank Withdrawal,28.45,131.05,0,0,0,131.05,2,Yes,89,4099,Dissatisfaction
5609-CEBID,Female,77,Yes,No,0,United States,California,Hemet,33.644585,-116.871544,0,20,48.73,Yes,Yes,Fiber Optic,12,Month-to-Month,Bank Withdrawal,94.1,1782.4,0,80,974.6,2837,1,Yes,87,2666,Competitor
5956-VKDTT,Female,72,Yes,Yes,0,United States,California,Moreno Valley,33.970661,-117.255039,4,5,45.76,Yes,Yes,Fiber Optic,22,Month-to-Month,Bank Withdrawal,74.35,334.8,0,0,228.8,563.6,1,Yes,82,5273,Dissatisfaction
0257-ZESQC,Female,80,Yes,Yes,0,United States,California,Perris,33.828289,-117.201666,2,27,7.02,No,Yes,Cable,25,Month-to-Month,Bank Withdrawal,75.2,1929.35,0,0,189.54,2118.89,1,Yes,91,4517,Attitude
2865-TCHJW,Female,74,Yes,No,0,United States,California,Anaheim,33.848733,-117.788357,0,4,48.35,Yes,Yes,Cable,24,Month-to-Month,Bank Withdrawal,89.2,346.2,0,0,193.4,539.6,1,Yes,74,5808,Competitor
5192-EBGOV,Female,68,Yes,No,0,United States,California,Brea,33.924143,-117.79387,0,1,45.81,Yes,Yes,Fiber Optic,21,Month-to-Month,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,1,Yes,66,4880,Competitor
3419-SNJJD,Female,78,Yes,Yes,0,United States,California,Yorba Linda,33.884073,-117.732197,3,65,18.39,Yes,Yes,Fiber Optic,28,Month-to-Month,Bank Withdrawal,105.25,6786.4,0,0,1195.35,7981.75,1,Yes,91,4196,Attitude
4554-YGZIH,Male,75,Yes,Yes,0,United States,California,Summerland,34.420998,-119.60137,3,49,22.92,Yes,Yes,Fiber Optic,14,Month-to-Month,Credit Card,90.05,4547.25,0,0,1123.08,5670.33,2,Yes,96,5059,Competitor
5099-BAILX,Male,77,Yes,Yes,0,United States,California,Santa Barbara,34.419203,-119.710008,1,43,14.52,Yes,Yes,Fiber Optic,5,Month-to-Month,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,2,Yes,65,2728,Competitor
4913-EHYUI,Male,80,Yes,Yes,0,United States,California,Alpaugh,35.869626,-119.498771,0,56,48.8,Yes,Yes,Fiber Optic,12,One Year,Bank Withdrawal,104.55,5794.65,0,0,2732.8,8527.45,1,Yes,91,6268,Competitor
1626-ERCMM,Male,75,Yes,Yes,0,United States,California,Camp Nelson,36.057458,-118.591951,7,20,5.31,Yes,Yes,Fiber Optic,10,Month-to-Month,Bank Withdrawal,94.55,1899.65,0,0,106.2,2005.85,1,Yes,84,5604,Competitor
5644-PDMZC,Female,69,Yes,No,0,United States,California,Delano,35.772244,-119.209689,0,2,47.47,Yes,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,89.5,161.5,0,0,94.94,256.44,2,Yes,80,2065,Attitude
4160-AMJTL,Female,74,Yes,No,0,United States,California,Fellows,35.215731,-119.57013,0,8,27.95,No,No,None,0,Month-to-Month,Bank Withdrawal,19.65,164.3,0,0,223.6,387.9,2,Yes,83,5432,Attitude
0823-HSCDJ,Male,76,Yes,No,0,United States,California,Temecula,33.507255,-117.029473,0,52,0,No,Yes,DSL,18,Month-to-Month,Bank Withdrawal,49.15,2550.9,0,30,0,2580.9,2,Yes,90,5597,Competitor
0067-DKWBL,Male,69,Yes,No,0,United States,California,San Diego,32.961064,-117.134917,0,2,43.99,No,Yes,DSL,27,Month-to-Month,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,2,Yes,95,3475,Competitor
5244-IRFIH,Male,72,Yes,Yes,0,United States,California,San Diego,32.961064,-117.134917,1,33,27.78,Yes,Yes,Fiber Optic,8,Month-to-Month,Bank Withdrawal,94.5,3105.55,0,0,916.74,4022.29,3,Yes,91,4333,Other
2684-EIWEO,Female,69,Yes,No,0,United States,California,San Diego,32.961064,-117.134917,0,30,45.88,Yes,Yes,Fiber Optic,19,Month-to-Month,Credit Card,91.7,2758.15,0,0,1376.4,4134.55,1,Yes,90,2482,Competitor
6683-VLCTZ,Male,73,Yes,No,0,United States,California,San Diego,32.961064,-117.134917,0,20,44.44,Yes,Yes,Fiber Optic,13,Month-to-Month,Bank Withdrawal,98.55,1842.8,0,120,888.8,2851.6,3,Yes,92,5444,Competitor
0691-IFBQW,Female,65,Yes,No,0,United States,California,Biola,36.798882,-120.019511,0,46,2.37,Yes,Yes,Fiber Optic,20,One Year,Bank Withdrawal,110,4874.8,0,0,109.02,4983.82,1,Yes,81,2403,Competitor
3643-AHCFP,Male,74,Yes,Yes,0,United States,California,Selma,36.545322,-119.642281,1,7,21.91,Yes,Yes,Cable,11,Month-to-Month,Bank Withdrawal,95.6,644.35,0,0,153.37,797.72,3,Yes,83,3265,Competitor
9231-ZJYAM,Female,65,Yes,No,0,United States,California,Squaw Valley,36.719141,-119.202677,0,4,36.93,No,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,78.85,292.8,0,0,147.72,440.52,3,Yes,72,5301,Other
0727-BMPLR,Female,66,Yes,No,0,United States,California,Fresno,36.654614,-119.903674,0,55,37.38,Yes,Yes,Fiber Optic,7,One Year,Bank Withdrawal,100,5509.3,0,100,2055.9,7665.2,3,Yes,83,5679,Competitor
0947-MUGVO,Male,71,Yes,Yes,0,United States,California,Jolon,35.930782,-121.189757,1,20,5.37,No,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9,1,Yes,95,5849,Competitor
0781-LKXBR,Male,65,Yes,No,0,United States,California,San Francisco,37.7795,-122.419233,0,9,48.71,Yes,Yes,Fiber Optic,15,Month-to-Month,Bank Withdrawal,100.5,918.6,0,0,438.39,1356.99,1,Yes,70,4038,Competitor
1907-UBQFC,Male,69,Yes,No,0,United States,California,San Francisco,37.791998,-122.408653,0,10,5.46,No,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,72.85,688.65,0,30,54.6,773.25,1,Yes,91,3189,Competitor
6513-EECDB,Male,75,Yes,Yes,0,United States,California,San Francisco,37.758085,-122.434801,0,1,36.92,Yes,Yes,Fiber Optic,6,Month-to-Month,Bank Withdrawal,73.55,73.55,0,0,36.92,110.47,2,Yes,94,4369,Price
7074-IEVOJ,Female,75,Yes,No,0,United States,California,San Francisco,37.820894,-122.369725,0,3,41.9,Yes,Yes,Fiber Optic,11,Month-to-Month,Bank Withdrawal,79.4,205.05,0,0,125.7,330.75,1,Yes,91,3501,Dissatisfaction
4750-ZRXIU,Female,68,Yes,No,0,United States,California,Palo Alto,37.386978,-122.177746,0,4,6.68,Yes,Yes,Cable,17,Month-to-Month,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82,1,Yes,83,2467,Competitor
7028-DVOIQ,Male,71,Yes,No,0,United States,California,Birds Landing,38.140719,-121.838298,0,35,20.83,Yes,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,99.05,3395.8,0,120,729.05,4244.85,1,Yes,82,2074,Other
4208-UFFGW,Male,80,Yes,No,0,United States,California,Byron,37.83323,-121.601461,0,2,26.62,No,Yes,DSL,11,Month-to-Month,Credit Card,44.95,85.15,0,0,53.24,138.39,2,Yes,84,5900,Other
9889-TMAHG,Male,66,Yes,No,0,United States,California,Fremont,37.516791,-121.899117,0,8,11.57,No,Yes,Fiber Optic,27,Month-to-Month,Credit Card,100.3,832.35,0,0,92.56,924.91,1,Yes,74,5084,Competitor
8919-FYFQZ,Male,73,Yes,Yes,0,United States,California,Livermore,37.571748,-121.659562,2,44,0,No,Yes,Cable,28,Month-to-Month,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7,1,Yes,96,4829,Competitor
6646-QVXLR,Male,77,Yes,Yes,0,United States,California,Napa,38.489789,-122.27011,1,62,7.11,Yes,Yes,Fiber Optic,16,One Year,Bank Withdrawal,103.75,6383.35,0,0,440.82,6824.17,1,Yes,91,5052,Competitor
9369-XFEHK,Female,76,Yes,Yes,0,United States,California,Pleasanton,37.633361,-121.862395,1,33,33.19,Yes,Yes,Cable,15,Month-to-Month,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77,2,Yes,72,3601,Competitor
1374-DMZUI,Female,65,Yes,No,0,United States,California,San Ramon,37.766556,-121.976784,0,4,49.5,Yes,Yes,Fiber Optic,23,Month-to-Month,Bank Withdrawal,94.3,424.45,0,0,198,622.45,2,Yes,91,5419,Competitor
1989-PRJHP,Male,75,Yes,Yes,0,United States,California,Pleasanton,37.685052,-121.912061,1,27,10.6,Yes,Yes,Fiber Optic,23,Month-to-Month,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15,1,Yes,65,2377,Competitor
4822-RVYBB,Male,75,Yes,No,0,United States,California,Berkeley,37.871416,-122.246597,0,8,40.45,Yes,Yes,Fiber Optic,29,Month-to-Month,Bank Withdrawal,100.6,819.4,0,0,323.6,1143,1,Yes,90,5906,Attitude
4184-TJFAN,Female,68,Yes,Yes,0,United States,California,Berkeley,37.897753,-122.279391,1,3,25.77,No,Yes,Fiber Optic,2,Month-to-Month,Mailed Check,88.3,273.75,0,0,77.31,351.06,1,Yes,68,4486,Attitude
4145-UQXUQ,Female,71,Yes,No,0,United States,California,Berkeley,37.872902,-122.303708,0,8,42.93,No,Yes,Fiber Optic,9,Month-to-Month,Bank Withdrawal,92.1,729.95,0,0,343.44,1073.39,1,Yes,81,5662,Competitor
1236-WFCDV,Male,74,Yes,No,0,United States,California,Greenbrae,37.946617,-122.563571,0,14,11.31,No,Yes,Fiber Optic,24,Month-to-Month,Credit Card,90.45,1266.1,0,0,158.34,1424.44,3,Yes,96,4777,Competitor
1271-SJBGZ,Male,77,Yes,No,0,United States,California,Forest Knolls,38.010092,-122.689442,0,12,0,No,Yes,DSL,10,Month-to-Month,Bank Withdrawal,43.65,526.95,0,0,0,526.95,1,Yes,74,2437,Competitor
4441-NIHPT,Female,73,Yes,No,0,United States,California,Freedom,36.936228,-121.785559,0,13,40.37,No,Yes,Fiber Optic,21,Month-to-Month,Bank Withdrawal,74.3,940.35,0,0,524.81,1465.16,1,Yes,90,2995,Competitor
8999-BOHSE,Female,68,Yes,No,0,United States,California,Gilroy,37.03889,-121.528955,0,11,3.96,No,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,89.7,1047.7,0,0,43.56,1091.26,2,Yes,89,2202,Attitude
7029-RPUAV,Male,74,Yes,Yes,0,United States,California,Los Gatos,37.222842,-121.988727,1,17,28.18,Yes,Yes,Cable,16,Month-to-Month,Credit Card,100.45,1622.45,0,0,479.06,2101.51,3,Yes,87,5508,Competitor
8111-SLLHI,Male,65,Yes,Yes,0,United States,California,San Jose,37.316146,-121.936285,1,39,33.25,Yes,Yes,Fiber Optic,26,Month-to-Month,Bank Withdrawal,105.65,4284.8,0,0,1296.75,5581.55,3,Yes,96,4687,Attitude
5293-WXJAK,Female,73,Yes,Yes,0,United States,California,San Jose,37.28682,-121.723877,5,11,17.25,Yes,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,104.05,1133.65,0,0,189.75,1323.4,3,Yes,82,4553,Competitor
4086-YQSNZ,Female,74,Yes,Yes,0,United States,California,Glencoe,38.358464,-120.579304,1,3,3.29,No,Yes,Fiber Optic,9,Month-to-Month,Bank Withdrawal,80.4,224.05,0,0,9.87,233.92,2,Yes,89,3834,Attitude
8399-YNDCH,Male,80,Yes,No,0,United States,California,Columbia,38.085839,-120.37855,0,21,34.62,No,Yes,DSL,14,Month-to-Month,Bank Withdrawal,60.05,1236.15,0,0,727.02,1963.17,1,Yes,70,4716,Competitor
5565-FILXA,Female,76,Yes,No,0,United States,California,Escondido,33.141265,-116.967221,0,16,38.75,Yes,Yes,Fiber Optic,16,Month-to-Month,Bank Withdrawal,96.15,1529.2,0,0,620,2149.2,2,Yes,96,5913,Other
4187-CINZD,Female,73,Yes,No,0,United States,California,Lakewood,33.840524,-118.148403,0,46,6.13,No,Yes,Fiber Optic,30,One Year,Credit Card,95.25,4424.2,0,0,281.98,4706.18,2,Yes,90,3180,Competitor
6818-WOBHJ,Female,70,Yes,Yes,0,United States,California,Fulton,38.493888,-122.777141,1,68,24.13,Yes,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,89.6,6127.6,0,0,1640.84,7768.44,1,Yes,69,5651,Competitor
9134-CEQMF,Male,75,Yes,Yes,0,United States,California,Nice,39.12334,-122.838198,1,7,13.63,No,Yes,Fiber Optic,27,Month-to-Month,Bank Withdrawal,89.5,676.7,0,0,95.41,772.11,2,Yes,89,3077,Dissatisfaction
8519-IMDHU,Male,74,Yes,Yes,0,United States,California,Alderpoint,40.166028,-123.584144,1,15,45.25,Yes,Yes,Cable,22,Month-to-Month,Bank Withdrawal,85.6,1345.55,0,0,678.75,2024.3,1,Yes,83,4981,Competitor
3372-KWFBM,Male,76,Yes,No,0,United States,California,Bayside,40.825486,-124.049485,0,16,19.18,Yes,Yes,Fiber Optic,22,Month-to-Month,Bank Withdrawal,86.6,1281,0,0,306.88,1587.88,3,Yes,81,2508,Dissatisfaction
7206-GZCDC,Female,75,Yes,No,0,United States,California,Loleta,40.665952,-124.240051,0,1,29.68,No,Yes,Cable,18,Month-to-Month,Bank Withdrawal,69.25,69.25,0,0,29.68,98.93,2,Yes,75,4371,Attitude
1768-ZAIFU,Female,74,Yes,No,0,United States,California,Rio Dell,40.485849,-124.163234,0,1,0,No,Yes,Cable,5,Month-to-Month,Bank Withdrawal,25.2,25.2,0,0,0,25.2,1,Yes,67,5688,Competitor
3793-MMFUH,Female,73,Yes,No,0,United States,California,Davis,38.544002,-121.685559,0,13,19.03,Yes,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,95.05,1290,0,0,247.39,1537.39,1,Yes,90,2230,Competitor
6567-HOOPW,Female,69,Yes,No,0,United States,California,Folsom,38.672638,-121.147403,0,1,20.06,No,Yes,Fiber Optic,24,Month-to-Month,Bank Withdrawal,79.2,79.2,0,0,20.06,99.26,3,Yes,76,4363,Competitor
8621-MNIHH,Female,75,Yes,Yes,0,United States,California,Madison,38.674276,-121.961866,1,34,2.88,Yes,Yes,Fiber Optic,4,Month-to-Month,Bank Withdrawal,94.25,3217.55,0,0,97.92,3315.47,1,Yes,88,3369,Competitor
5419-CONWX,Female,65,Yes,No,0,United States,California,Pleasant Grove,38.833554,-121.498102,0,4,12.68,No,Yes,Fiber Optic,10,Month-to-Month,Credit Card,99.8,442.85,0,0,50.72,493.57,1,Yes,89,2268,Competitor
7024-OHCCK,Female,77,Yes,No,0,United States,California,Sheridan,38.984756,-121.345074,0,2,19.27,Yes,Yes,Fiber Optic,18,Month-to-Month,Bank Withdrawal,93.85,170.85,0,0,38.54,209.39,3,Yes,72,4193,Other
5357-TZHPP,Male,67,Yes,No,0,United States,California,Wheatland,39.043387,-121.409837,0,9,30.8,Yes,Yes,Fiber Optic,18,Month-to-Month,Credit Card,84.4,732.5,0,0,277.2,1009.7,2,Yes,83,5745,Attitude
0506-LVNGN,Female,78,Yes,No,0,United States,California,Rancho Cordova,38.591134,-121.161585,0,5,42.33,No,Yes,Fiber Optic,9,Month-to-Month,Credit Card,75.55,349.65,0,0,211.65,561.3,1,Yes,90,4028,Competitor
9809-IMGCQ,Male,65,Yes,No,0,United States,California,Canyon Dam,40.171312,-121.120605,0,22,40.18,Yes,Yes,Fiber Optic,8,Month-to-Month,Bank Withdrawal,96.7,2082.95,0,100,883.96,3066.91,1,Yes,93,4458,Competitor
3254-YRILK,Male,74,Yes,No,0,United States,California,Dobbins,39.381174,-121.21191,0,19,39.97,Yes,Yes,Fiber Optic,9,Month-to-Month,Bank Withdrawal,88.2,1775.8,0,0,759.43,2535.23,1,Yes,69,5683,Competitor
0529-ONKER,Male,70,Yes,No,0,United States,California,Forest Ranch,40.077028,-121.494168,0,15,46.38,Yes,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,75.65,1146.65,0,0,695.7,1842.35,3,Yes,96,2099,Attitude
5240-IJOQT,Male,69,Yes,No,0,United States,California,Grass Valley,39.099204,-121.137962,0,1,11.34,Yes,Yes,Fiber Optic,20,Month-to-Month,Bank Withdrawal,74.7,74.7,0,0,11.34,86.04,1,Yes,88,3348,Competitor
0661-XEYAN,Female,76,Yes,No,0,United States,California,Nevada City,39.333737,-120.858667,0,1,0,No,Yes,DSL,26,Month-to-Month,Mailed Check,25.8,25.8,0,20,0,45.8,1,Yes,90,3884,Competitor
2660-EMUBI,Male,71,Yes,No,0,United States,California,Escondido,33.141265,-116.967221,0,10,41.37,Yes,Yes,Fiber Optic,14,Month-to-Month,Bank Withdrawal,95.35,898.35,0,0,413.7,1312.05,1,Yes,75,5353,Competitor
7675-OZCZG,Female,76,Yes,No,0,United States,California,Fallbrook,33.362575,-117.299644,0,3,30.14,No,Yes,DSL,6,Month-to-Month,Bank Withdrawal,45,127.1,0,10,90.42,227.52,3,Yes,77,4145,Competitor
9391-EOYLI,Male,77,Yes,Yes,0,United States,California,Lewiston,40.704293,-122.803899,1,12,6.97,No,Yes,Fiber Optic,19,Month-to-Month,Bank Withdrawal,80.45,950.2,0,0,83.64,1033.84,2,Yes,69,5374,Competitor
2761-OCIAX,Male,74,Yes,No,0,United States,California,Palo Cedro,40.582399,-122.195512,0,2,6.51,No,Yes,Fiber Optic,11,Month-to-Month,Bank Withdrawal,74.7,165.4,0,0,13.02,178.42,2,Yes,81,2803,Competitor
3068-OMWZA,Male,77,Yes,No,0,United States,California,Round Mountain,40.923558,-122.059933,0,1,49.6,Yes,Yes,Fiber Optic,20,Month-to-Month,Bank Withdrawal,88.8,88.8,0,10,49.6,148.4,1,Yes,91,3106,Competitor
4154-AQUGT,Male,76,Yes,Yes,0,United States,California,San Diego,32.957195,-117.202542,1,13,1.47,No,Yes,Fiber Optic,5,Month-to-Month,Bank Withdrawal,89.05,1169.35,0,0,19.11,1188.46,1,Yes,82,3861,Competitor
8017-LXHFA,Female,77,Yes,No,0,United States,California,San Diego,32.957195,-117.202542,0,23,31.17,No,Yes,Fiber Optic,23,Month-to-Month,Bank Withdrawal,94.75,2293.6,0,0,716.91,3010.51,2,Yes,95,2740,Competitor
4248-QPAVC,Female,80,Yes,Yes,0,United States,California,San Diego,32.957195,-117.202542,1,17,36.82,Yes,Yes,Fiber Optic,6,Month-to-Month,Bank Withdrawal,85.35,1463.45,0,0,625.94,2089.39,1,Yes,90,3209,Competitor
4690-LLKUA,Male,68,Yes,No,0,United States,California,San Diego,32.957195,-117.202542,0,17,40.93,No,Yes,DSL,2,Month-to-Month,Bank Withdrawal,45.05,770.6,0,0,695.81,1466.41,1,Yes,93,3797,Competitor
9490-DFPMD,Female,79,Yes,No,0,United States,California,San Diego,32.957195,-117.202542,0,42,9.53,Yes,Yes,Fiber Optic,17,Month-to-Month,Bank Withdrawal,84.65,3541.35,0,0,400.26,3941.61,2,Yes,90,4871,Competitor
8580-AECUZ,Male,65,Yes,No,0,United States,California,San Diego,32.957195,-117.202542,0,1,42.3,No,Yes,Fiber Optic,16,Month-to-Month,Bank Withdrawal,79.1,79.1,0,0,42.3,121.4,3,Yes,92,5001,Competitor
5047-LHVLY,Male,68,Yes,No,0,United States,California,San Diego,32.898613,-117.202937,0,1,39.78,No,Yes,Cable,12,Month-to-Month,Mailed Check,50.15,50.15,0,0,39.78,89.93,2,Yes,91,3438,Competitor
8375-DKEBR,Female,72,Yes,No,0,United States,California,Hermosa Beach,33.86532,-118.396336,0,1,34.51,No,Yes,Fiber Optic,15,Month-to-Month,Bank Withdrawal,69.6,69.6,0,0,34.51,104.11,1,Yes,96,3438,Competitor
